paperID,proceedingID,edition,venue,year,month,day
21001,50001,2,City ###,2015,6,16
21002,50002,18,City ###,2011,5,11
21003,50003,14,City ###,2011,8,23
21004,50004,18,City ###,2021,1,27
21005,50005,21,City ###,2010,2,27
21006,50006,21,City ###,2016,3,17
21007,50007,18,City ###,2017,10,20
21008,50008,19,City ###,2017,1,12
21009,50009,11,City ###,2018,12,9
21010,50010,19,City ###,2020,5,31
21011,50011,10,City ###,2011,1,19
21012,50012,21,City ###,2013,3,3
21013,50013,1,City ###,2013,7,17
21014,50014,3,City ###,2014,1,19
21015,50015,9,City ###,2010,3,2
21016,50016,14,City ###,2017,9,6
21017,50017,3,City ###,2014,7,4
21018,50018,20,City ###,2019,7,30
21019,50019,5,City ###,2014,7,12
21020,50020,14,City ###,2016,10,9
21021,50021,14,City ###,2017,3,15
21022,50022,2,City ###,2013,12,25
21023,50023,4,City ###,2012,4,12
21024,50024,13,City ###,2017,3,7
21025,50025,10,City ###,2015,2,22
21026,50001,3,City ###,2020,7,16
21027,50002,12,City ###,2016,8,11
21028,50003,3,City ###,2012,7,28
21029,50004,9,City ###,2014,6,18
21030,50005,17,City ###,2012,8,8
21031,50006,6,City ###,2011,6,22
21032,50007,4,City ###,2020,4,23
21033,50008,6,City ###,2019,6,3
21034,50009,12,City ###,2013,1,31
21035,50010,11,City ###,2017,10,11
21036,50011,15,City ###,2015,6,29
21037,50012,20,City ###,2016,4,27
21038,50013,19,City ###,2013,3,16
21039,50014,11,City ###,2015,3,16
21040,50015,6,City ###,2013,5,6
21041,50016,9,City ###,2012,7,9
21042,50017,19,City ###,2013,4,23
21043,50018,21,City ###,2015,6,27
21044,50019,18,City ###,2020,7,3
21045,50020,17,City ###,2011,2,24
21046,50021,21,City ###,2011,4,20
21047,50022,4,City ###,2011,7,16
21048,50023,5,City ###,2013,11,30
21049,50024,14,City ###,2013,7,12
21050,50025,17,City ###,2018,5,30
21051,50001,13,City ###,2019,3,30
21052,50002,13,City ###,2017,4,12
21053,50003,1,City ###,2017,3,25
21054,50004,12,City ###,2010,2,15
21055,50005,15,City ###,2018,6,26
21056,50006,4,City ###,2016,1,1
21057,50007,3,City ###,2020,4,17
21058,50008,9,City ###,2011,11,30
21059,50009,15,City ###,2018,3,30
21060,50010,1,City ###,2010,12,6
21061,50011,8,City ###,2013,10,8
21062,50012,11,City ###,2015,8,23
21063,50013,16,City ###,2020,8,5
21064,50014,14,City ###,2016,11,22
21065,50015,9,City ###,2019,12,13
21066,50016,1,City ###,2010,6,4
21067,50017,6,City ###,2015,10,13
21068,50018,16,City ###,2019,7,20
21069,50019,5,City ###,2021,7,6
21070,50020,11,City ###,2010,2,7
21071,50021,5,City ###,2016,3,13
21072,50022,12,City ###,2019,7,10
21073,50023,4,City ###,2015,5,18
21074,50024,6,City ###,2020,8,29
21075,50025,19,City ###,2020,10,28
21076,50001,1,City ###,2018,12,11
21077,50002,15,City ###,2018,7,30
21078,50003,14,City ###,2017,12,6
21079,50004,7,City ###,2018,10,28
21080,50005,3,City ###,2013,7,22
21081,50006,10,City ###,2020,1,12
21082,50007,19,City ###,2010,6,30
21083,50008,8,City ###,2011,7,22
21084,50009,16,City ###,2017,9,1
21085,50010,12,City ###,2012,2,13
21086,50011,18,City ###,2010,3,28
21087,50012,1,City ###,2017,11,4
21088,50013,19,City ###,2018,6,1
21089,50014,21,City ###,2019,12,24
21090,50015,21,City ###,2014,10,10
21091,50016,6,City ###,2012,7,7
21092,50017,10,City ###,2019,3,12
21093,50018,4,City ###,2010,11,2
21094,50019,16,City ###,2011,6,7
21095,50020,3,City ###,2020,10,6
21096,50021,19,City ###,2013,9,12
21097,50022,11,City ###,2015,7,18
21098,50023,15,City ###,2012,2,23
21099,50024,9,City ###,2017,10,28
21100,50025,14,City ###,2013,1,22
21101,50001,18,City ###,2012,7,12
21102,50002,17,City ###,2021,9,5
21103,50003,5,City ###,2020,8,27
21104,50004,13,City ###,2011,6,8
21105,50005,11,City ###,2010,12,21
21106,50006,5,City ###,2018,1,24
21107,50007,12,City ###,2013,4,23
21108,50008,8,City ###,2012,5,24
21109,50009,9,City ###,2014,11,2
21110,50010,19,City ###,2020,11,20
21111,50011,15,City ###,2012,9,9
21112,50012,6,City ###,2019,8,30
21113,50013,18,City ###,2010,2,27
21114,50014,4,City ###,2018,3,18
21115,50015,6,City ###,2019,2,11
21116,50016,15,City ###,2020,1,15
21117,50017,1,City ###,2013,1,20
21118,50018,9,City ###,2015,12,15
21119,50019,11,City ###,2015,8,5
21120,50020,8,City ###,2021,6,27
21121,50021,11,City ###,2019,11,20
21122,50022,3,City ###,2015,12,15
21123,50023,16,City ###,2020,8,18
21124,50024,12,City ###,2010,4,8
21125,50025,2,City ###,2020,12,26
21126,50001,20,City ###,2015,7,10
21127,50002,3,City ###,2019,2,14
21128,50003,9,City ###,2014,4,12
21129,50004,5,City ###,2021,2,15
21130,50005,19,City ###,2021,10,13
21131,50006,14,City ###,2021,7,24
21132,50007,13,City ###,2010,6,6
21133,50008,15,City ###,2010,1,27
21134,50009,18,City ###,2010,4,3
21135,50010,2,City ###,2013,6,9
21136,50011,2,City ###,2018,2,10
21137,50012,12,City ###,2012,8,5
21138,50013,1,City ###,2010,1,19
21139,50014,15,City ###,2013,9,25
21140,50015,17,City ###,2015,9,22
21141,50016,5,City ###,2018,9,6
21142,50017,14,City ###,2019,12,9
21143,50018,13,City ###,2015,5,10
21144,50019,9,City ###,2016,5,9
21145,50020,7,City ###,2010,12,1
21146,50021,7,City ###,2010,6,18
21147,50022,5,City ###,2010,8,4
21148,50023,12,City ###,2016,5,11
21149,50024,11,City ###,2014,5,4
21150,50025,14,City ###,2010,2,14
21151,50001,3,City ###,2018,3,11
21152,50002,17,City ###,2016,4,10
21153,50003,15,City ###,2010,12,28
21154,50004,12,City ###,2021,7,23
21155,50005,20,City ###,2020,9,23
21156,50006,15,City ###,2020,8,22
21157,50007,1,City ###,2019,4,6
21158,50008,6,City ###,2015,5,21
21159,50009,9,City ###,2017,5,12
21160,50010,18,City ###,2013,7,18
