paperID,citedBy
20996,21458
20152,21128
20912,21060
20440,21447
20166,20509
21429,20976
20189,20156
20416,21798
21001,21313
21213,21471
20981,21753
21757,21617
21468,20825
21615,20942
21177,21796
21303,20367
20962,21154
21617,21780
21756,21938
20413,21217
21906,20717
20924,20412
21149,20389
20863,20320
20699,21021
21713,20461
21974,21836
21053,21603
21642,20170
20048,21514
20879,20696
20261,21219
20271,21742
20929,21697
21439,20304
21267,21985
21794,20628
20194,21257
20598,20360
20320,21302
20938,21230
21902,21877
20441,21951
20380,20792
21701,21167
20907,21018
20685,20824
21730,20143
20176,20385
20800,20613
21683,20950
21757,21967
21459,20876
20435,20760
21672,21058
21573,21200
21619,21831
21142,20640
20710,21738
20620,20147
20720,20436
21540,20291
21069,20581
21531,20229
20162,21861
20143,20384
20052,21828
20439,20264
20218,21740
21760,21116
21942,20107
21248,20431
20413,20872
21103,20844
20224,21445
20112,21011
21040,20235
20827,20318
21823,21363
21781,20304
21694,21734
21024,20943
21565,20810
21154,20326
20914,21441
21603,21858
21514,20325
21532,21411
21217,20386
20302,21574
21405,21692
20960,20030
21808,21735
20237,20452
20525,21130
21670,21863
21203,20478
21735,21072
20171,21557
21504,21603
21743,20892
21102,21626
20359,21049
20425,20991
20586,21247
21380,20466
20272,21454
21771,20590
21032,21399
21353,20569
21116,21644
21063,21960
20870,21861
20328,20530
20272,21166
20983,20173
20745,20350
20987,20777
21230,21174
20685,21543
20508,20231
21342,20574
20869,21495
20574,21371
21304,21310
21699,20542
21791,20041
20273,21410
20615,21692
21324,21089
21469,21916
20937,20979
21181,21869
21853,21010
21644,20889
21797,20861
20564,20882
21838,21821
21678,20780
21228,21192
20436,20423
20038,21299
20626,21481
20534,21680
21909,20164
21080,21502
21348,21770
20397,20051
21512,20499
20006,21648
20411,21978
20040,21006
21516,21596
20998,20323
21113,21422
20548,21366
21462,21760
20727,20566
20352,20619
21081,20977
21553,21648
20520,21058
20931,21212
20728,21582
21306,20983
20723,21352
21328,20713
20733,21721
21452,20925
20603,20184
20117,21091
21890,21603
21652,20541
20884,20469
20532,21134
21103,20524
21937,20378
21655,20179
21689,20598
20532,20278
21487,21350
21575,20171
21766,21182
20196,20929
20757,20592
20870,21162
21783,20625
20085,21682
21855,20670
20445,20426
21957,21560
20571,21182
20817,20619
20543,21347
21145,21363
21970,20756
21010,21278
20216,20317
21263,21250
20555,21873
20766,20446
20387,21526
20653,21867
20386,20985
20626,20737
21991,20722
20137,21782
20314,21588
21703,21062
20086,20903
21487,20937
20035,20053
20047,21357
21187,20756
20191,20459
20474,20293
21251,20243
20754,20337
21037,20699
21170,20781
20527,20847
20414,21841
20776,20061
20280,20904
20191,21712
20483,20974
20122,20693
20790,21416
20275,20631
21563,20334
20329,21816
20831,21934
21275,20555
20561,21624
21934,20429
21819,21268
20855,21778
21208,20579
20248,20189
20058,21896
20070,20212
21739,20831
20793,20507
21104,21915
21537,20987
21835,20253
20248,20855
21040,20898
21579,21374
21734,20610
21297,21079
21194,21263
21884,20017
20827,21166
21627,20706
20444,21699
21915,21781
20638,20152
21578,20589
21850,20421
20376,20619
21499,20671
20917,20060
20523,20489
20765,21325
20954,20237
20214,21405
20583,21929
20278,20755
20715,20453
21309,20125
20742,21620
20522,20972
20888,21146
20526,20591
20213,21996
21205,20190
21929,20086
20587,20360
20975,21420
20647,20520
20164,21302
20748,21621
21982,20088
20644,21895
20462,21136
21517,20169
20101,20350
21607,21456
20759,20940
20861,21288
21411,20184
21657,21559
20220,21022
20677,20966
21168,20084
20147,20144
20866,20719
20682,20027
21953,21558
21222,21578
21735,21623
20569,21331
20994,20991
20757,21065
20472,21013
20502,20761
21676,21232
20427,20025
20788,20968
20455,21855
20568,20311
20734,20188
20181,20403
21315,20057
21669,20241
20812,21244
21964,21281
20336,21792
20317,20824
21093,21485
21503,20988
20966,21131
20356,20652
20410,20003
21472,20087
20916,20758
20973,21589
21360,20293
20598,20059
20349,20261
20693,21296
21683,21476
21897,20830
21916,21388
21623,21778
21009,21886
20539,21208
20255,21947
20752,21683
20144,21946
20700,21521
20424,20209
21155,20530
20601,20716
21699,20673
21024,20055
20938,21883
21461,21063
20950,20102
21662,21514
20219,21004
20941,20325
20273,21539
21680,20542
21350,20389
20511,20141
20703,21966
21331,20863
21803,21510
20989,20424
20194,21723
21652,20806
20341,20604
21995,21163
20746,21311
21166,20096
20663,21006
21498,20520
21357,20878
20426,20784
20514,20120
21812,20549
21036,21209
20046,21330
21979,21594
21378,21142
21318,20018
20717,21840
21414,21600
21637,20965
20141,21684
20654,20310
21882,20588
20744,21188
20290,20142
21807,20587
21930,20326
21346,21193
20457,20118
21593,21425
20062,20178
21084,20253
21886,20148
21275,20256
21252,20130
20434,20042
21962,20824
20915,21943
20559,20406
21219,21503
21926,21757
21969,21075
20977,20045
21689,20405
21365,20081
21124,21165
21901,20985
20935,21703
20468,21158
20677,21717
21752,21314
21372,21661
21750,21872
20018,21176
20454,20286
20744,20197
20123,21807
20702,20546
21861,21684
20463,20515
20849,21632
21677,20079
20931,20459
21520,21201
21022,21284
21643,20510
20358,20574
20309,21761
21196,20813
20570,20250
21977,20418
21984,20139
20990,21984
20131,21581
21995,20183
21755,21843
21954,21835
21068,21339
21873,20625
21416,20271
20006,20507
21563,21207
21871,20637
20796,20523
20482,20965
20902,20226
20657,21220
21408,21158
20361,20803
21574,21557
20072,20995
21967,20406
20799,20379
21339,21569
21498,21866
21004,20773
20146,20997
20481,21371
20918,20185
21233,20209
21554,20763
20368,20704
20917,20574
21996,21300
20760,21517
21313,20132
21603,21494
20731,20365
21968,21423
21953,21822
21244,20015
20912,21292
21737,20572
21397,21834
20181,21118
21890,21307
20994,21348
20353,20856
20612,20608
21465,21392
20416,21985
20752,20436
20003,21891
21338,20830
20155,20315
21550,21666
20637,20498
20689,20956
20777,21075
20968,21378
21281,20674
20501,20913
20981,20585
20338,21509
21354,20552
20395,20628
20440,20034
21745,20086
20651,20267
21177,21707
20508,20437
20430,20580
21962,21227
20151,20521
21554,20519
21554,21867
20340,21507
20202,21172
21792,21537
21924,20184
21214,21948
20814,21421
21263,20242
20480,21262
20551,20412
20536,21408
20009,20475
20305,20729
20798,20935
20857,20696
20672,20692
20858,20213
20075,21498
21991,21721
20777,20997
21235,20427
21657,21956
20101,20015
20754,20188
20789,21461
20259,20021
20601,21717
21209,21168
21372,21659
20325,20730
20150,21440
20861,21617
21062,21783
20535,21575
20645,21493
20807,21852
20637,20005
21507,21781
20520,20824
21658,20480
20352,20664
21517,21419
21565,20778
20357,20362
21547,21207
21832,21345
21247,21748
21502,20346
20046,20827
20212,20599
20977,21123
21114,20427
20533,21519
21446,21763
20560,20490
21702,21939
20648,20679
21735,20943
20538,20281
20314,21727
20427,21396
20232,20726
20400,20811
21751,21023
20860,21751
21159,20008
20988,20162
20077,20058
21783,20093
20492,20500
20830,21653
20889,20744
21619,21955
20764,20739
20033,20675
20215,20203
21707,21098
20007,21125
21165,21116
21284,20977
20389,20906
21616,21543
20531,20929
21974,21334
20129,20993
21785,21899
21444,21013
21840,21094
20989,21676
20070,20342
21872,21635
21402,21542
20179,21336
21772,20104
20642,20778
21566,20003
21091,20254
20467,21911
21583,21456
21734,21996
20627,20389
20865,20949
20652,21163
21969,21398
21055,21008
21006,20906
20264,20415
21216,21930
20402,20900
20053,21446
21898,20032
20278,20018
21306,21970
21393,20674
21036,20281
21400,20680
21485,21700
21739,20897
20086,20568
20395,21256
21824,21123
20453,20310
20555,21555
20440,20324
20195,21333
20222,21174
20784,21949
21483,21382
20169,20273
21339,21223
21607,21786
20897,20166
20387,21454
21903,20678
20267,21487
20632,20055
20770,21005
21452,20200
21933,21240
21023,21756
21593,21476
20224,20950
20776,21364
20647,21047
21032,21916
21740,20146
21031,20026
20408,20525
20292,20348
21461,21965
20959,20481
21171,20930
21013,21613
21720,20050
21820,21848
21965,21313
20663,21361
20021,21401
21589,21316
21383,20232
21723,21224
21843,21857
20649,20408
21405,20503
21264,20874
21306,21182
20696,21714
21555,21484
21473,20944
20368,21454
21757,21018
21978,20512
21526,21452
21648,20516
21209,21312
21949,21442
21266,21227
20779,20886
20406,21668
20476,20101
20815,21452
20300,20603
20055,20071
21040,20301
20703,20513
21647,20755
21430,21441
20393,21991
20613,20269
20859,21294
21149,21291
21913,20382
21851,21630
20726,20185
20333,20175
20598,21160
21872,20997
20138,20490
20863,21419
21453,20978
20719,21728
20863,21920
20391,20551
21719,20496
21537,21601
20002,21374
20873,21882
21816,20261
21976,21296
20490,21850
20159,20286
20092,21198
20656,21495
20421,21210
21496,21655
20255,20697
21325,20505
21123,21560
20763,20698
21781,21015
21881,20728
20673,21532
21175,20729
21807,21136
20416,21612
21844,20444
20434,20007
20382,20018
21587,21864
20702,20661
21786,20939
21792,20244
21153,21618
20918,21932
20300,20828
21055,20385
20852,21727
20344,21999
20197,21835
20605,20952
21921,20295
20490,21018
20203,21270
20395,21786
21332,21395
20563,21826
21499,21538
21729,20672
20742,21987
21814,21867
21358,21388
21491,21083
20098,21310
20884,21968
20438,20629
20917,20952
21151,20416
20949,20065
20562,21136
20212,20011
21986,21491
21804,21516
21350,21930
21817,20505
21708,21126
20439,20205
21206,21919
20658,21078
20137,20174
21622,21782
20214,21698
20902,20615
20427,20826
21401,20503
20415,20931
21632,20992
21693,21262
21368,20073
21310,20798
20556,20801
21089,20288
21984,20906
20693,20530
20222,21791
20674,21740
21578,21635
21109,21512
21921,20433
21122,21134
20954,20687
21120,21495
21885,21400
20947,20069
20649,20562
21664,20035
20352,21694
20934,20073
20177,21311
20569,20900
