paperID,keywordID,keyword
20001,40007,data querying
20002,40008,health informatics
20003,40005,data processing
20004,40007,data querying
20005,40007,data querying
20006,40004,big data
20007,40006,data storage
20008,40003,data modeling
20009,40002,indexing
20010,40002,indexing
20011,40003,data modeling
20012,40007,data querying
20013,40004,big data
20014,40004,big data
20015,40007,data querying
20016,40002,indexing
20017,40003,data modeling
20018,40005,data processing
20019,40002,indexing
20020,40004,big data
20021,40003,data modeling
20022,40002,indexing
20023,40001,data management
20024,40007,data querying
20025,40008,health informatics
20026,40003,data modeling
20027,40002,indexing
20028,40004,big data
20029,40002,indexing
20030,40004,big data
20031,40002,indexing
20032,40008,health informatics
20033,40008,health informatics
20034,40006,data storage
20035,40001,data management
20036,40008,health informatics
20037,40004,big data
20038,40004,big data
20039,40004,big data
20040,40006,data storage
20041,40002,indexing
20042,40003,data modeling
20043,40005,data processing
20044,40007,data querying
20045,40006,data storage
20046,40002,indexing
20047,40004,big data
20048,40004,big data
20049,40005,data processing
20050,40001,data management
20051,40004,big data
20052,40003,data modeling
20053,40005,data processing
20054,40002,indexing
20055,40002,indexing
20056,40003,data modeling
20057,40001,data management
20058,40003,data modeling
20059,40002,indexing
20060,40001,data management
20061,40005,data processing
20062,40006,data storage
20063,40003,data modeling
20064,40003,data modeling
20065,40004,big data
20066,40006,data storage
20067,40005,data processing
20068,40003,data modeling
20069,40006,data storage
20070,40001,data management
20071,40001,data management
20072,40001,data management
20073,40006,data storage
20074,40003,data modeling
20075,40006,data storage
20076,40007,data querying
20077,40005,data processing
20078,40004,big data
20079,40006,data storage
20080,40008,health informatics
20081,40005,data processing
20082,40006,data storage
20083,40006,data storage
20084,40006,data storage
20085,40005,data processing
20086,40002,indexing
20087,40003,data modeling
20088,40008,health informatics
20089,40004,big data
20090,40005,data processing
20091,40001,data management
20092,40004,big data
20093,40001,data management
20094,40004,big data
20095,40005,data processing
20096,40008,health informatics
20097,40002,indexing
20098,40008,health informatics
20099,40008,health informatics
20100,40001,data management
20101,40006,data storage
20102,40006,data storage
20103,40004,big data
20104,40002,indexing
20105,40001,data management
20106,40004,big data
20107,40007,data querying
20108,40001,data management
20109,40007,data querying
20110,40005,data processing
20111,40008,health informatics
20112,40001,data management
20113,40003,data modeling
20114,40001,data management
20115,40007,data querying
20116,40003,data modeling
20117,40007,data querying
20118,40004,big data
20119,40002,indexing
20120,40005,data processing
20121,40001,data management
20122,40005,data processing
20123,40007,data querying
20124,40007,data querying
20125,40007,data querying
20126,40004,big data
20127,40001,data management
20128,40005,data processing
20129,40007,data querying
20130,40006,data storage
20131,40004,big data
20132,40004,big data
20133,40007,data querying
20134,40001,data management
20135,40002,indexing
20136,40001,data management
20137,40005,data processing
20138,40003,data modeling
20139,40005,data processing
20140,40004,big data
20141,40003,data modeling
20142,40008,health informatics
20143,40001,data management
20144,40007,data querying
20145,40001,data management
20146,40007,data querying
20147,40005,data processing
20148,40004,big data
20149,40002,indexing
20150,40008,health informatics
20151,40003,data modeling
20152,40007,data querying
20153,40005,data processing
20154,40003,data modeling
20155,40003,data modeling
20156,40002,indexing
20157,40003,data modeling
20158,40004,big data
20159,40005,data processing
20160,40001,data management
20161,40003,data modeling
20162,40001,data management
20163,40004,big data
20164,40006,data storage
20165,40004,big data
20166,40008,health informatics
20167,40008,health informatics
20168,40002,indexing
20169,40002,indexing
20170,40002,indexing
20171,40003,data modeling
20172,40007,data querying
20173,40005,data processing
20174,40008,health informatics
20175,40008,health informatics
20176,40007,data querying
20177,40005,data processing
20178,40006,data storage
20179,40005,data processing
20180,40005,data processing
20181,40005,data processing
20182,40005,data processing
20183,40003,data modeling
20184,40003,data modeling
20185,40007,data querying
20186,40002,indexing
20187,40004,big data
20188,40006,data storage
20189,40002,indexing
20190,40004,big data
20191,40001,data management
20192,40004,big data
20193,40002,indexing
20194,40007,data querying
20195,40001,data management
20196,40002,indexing
20197,40002,indexing
20198,40005,data processing
20199,40004,big data
20200,40007,data querying
20201,40001,data management
20202,40001,data management
20203,40008,health informatics
20204,40008,health informatics
20205,40006,data storage
20206,40003,data modeling
20207,40003,data modeling
20208,40008,health informatics
20209,40008,health informatics
20210,40003,data modeling
20211,40002,indexing
20212,40001,data management
20213,40006,data storage
20214,40006,data storage
20215,40003,data modeling
20216,40004,big data
20217,40008,health informatics
20218,40005,data processing
20219,40006,data storage
20220,40001,data management
20221,40007,data querying
20222,40007,data querying
20223,40005,data processing
20224,40006,data storage
