paperID,journalID,volume,year
20001,60001,5,2021
20002,60002,10,2011
20003,60003,7,2012
20004,60004,9,2017
20005,60005,5,2014
20006,60006,21,2015
20007,60007,5,2015
20008,60008,2,2011
20009,60009,12,2019
20010,60010,14,2020
20011,60011,9,2021
20012,60012,18,2017
20013,60013,20,2021
20014,60014,4,2015
20015,60015,13,2010
20016,60016,19,2019
20017,60017,13,2021
20018,60018,7,2017
20019,60019,12,2016
20020,60020,21,2010
20021,60021,15,2021
20022,60022,4,2021
20023,60023,6,2017
20024,60024,6,2012
20025,60025,4,2011
20026,60001,2,2021
20027,60002,7,2012
20028,60003,21,2012
20029,60004,16,2013
20030,60005,20,2015
20031,60006,17,2013
20032,60007,13,2012
20033,60008,11,2010
20034,60009,12,2017
20035,60010,1,2021
20036,60011,11,2011
20037,60012,1,2015
20038,60013,12,2013
20039,60014,21,2011
20040,60015,8,2019
20041,60016,15,2016
20042,60017,5,2013
20043,60018,2,2013
20044,60019,14,2019
20045,60020,11,2010
20046,60021,10,2014
20047,60022,9,2010
20048,60023,19,2015
20049,60024,14,2021
20050,60025,2,2021
20051,60001,19,2015
20052,60002,19,2012
20053,60003,8,2018
20054,60004,17,2014
20055,60005,11,2016
20056,60006,17,2019
20057,60007,3,2010
20058,60008,8,2014
20059,60009,11,2013
20060,60010,11,2017
20061,60011,2,2010
20062,60012,10,2021
20063,60013,3,2015
20064,60014,2,2012
20065,60015,10,2013
20066,60016,17,2021
20067,60017,14,2013
20068,60018,5,2016
20069,60019,21,2011
20070,60020,17,2014
20071,60021,13,2020
20072,60022,20,2021
20073,60023,18,2010
20074,60024,8,2010
20075,60025,20,2015
20076,60001,6,2020
20077,60002,18,2011
20078,60003,1,2014
20079,60004,7,2019
20080,60005,7,2011
20081,60006,7,2018
20082,60007,15,2012
20083,60008,6,2011
20084,60009,7,2021
20085,60010,2,2018
20086,60011,21,2017
20087,60012,6,2019
20088,60013,3,2017
20089,60014,11,2012
20090,60015,10,2015
20091,60016,20,2012
20092,60017,19,2015
20093,60018,5,2020
20094,60019,1,2016
20095,60020,5,2010
20096,60021,3,2015
20097,60022,4,2010
20098,60023,15,2012
20099,60024,7,2018
20100,60025,16,2016
20101,60001,14,2012
20102,60002,6,2015
20103,60003,4,2018
20104,60004,3,2014
20105,60005,4,2011
20106,60006,5,2016
20107,60007,12,2017
20108,60008,16,2017
20109,60009,10,2010
20110,60010,8,2016
20111,60011,6,2017
20112,60012,20,2019
20113,60013,21,2017
20114,60014,21,2010
20115,60015,4,2017
20116,60016,12,2021
20117,60017,6,2018
20118,60018,7,2012
20119,60019,7,2017
20120,60020,16,2020
20121,60021,2,2011
20122,60022,15,2014
20123,60023,2,2012
20124,60024,3,2012
20125,60025,8,2012
20126,60001,4,2013
20127,60002,9,2021
20128,60003,5,2015
20129,60004,9,2013
20130,60005,5,2017
20131,60006,19,2012
20132,60007,6,2021
20133,60008,14,2020
20134,60009,2,2018
20135,60010,16,2016
20136,60011,2,2021
20137,60012,10,2018
20138,60013,15,2013
20139,60014,15,2019
20140,60015,12,2017
20141,60016,7,2014
20142,60017,1,2010
20143,60018,15,2013
20144,60019,7,2020
20145,60020,3,2015
20146,60021,5,2014
20147,60022,10,2013
20148,60023,14,2011
20149,60024,8,2014
20150,60025,7,2013
20151,60001,19,2018
20152,60002,3,2019
20153,60003,15,2014
20154,60004,2,2014
20155,60005,1,2021
20156,60006,2,2012
20157,60007,17,2018
20158,60008,3,2020
20159,60009,15,2020
20160,60010,14,2021
20161,60011,10,2020
20162,60012,10,2019
20163,60013,8,2013
20164,60014,6,2021
20165,60015,8,2016
20166,60016,17,2013
20167,60017,14,2017
20168,60018,18,2010
20169,60019,1,2019
20170,60020,18,2016
20171,60021,21,2013
20172,60022,12,2012
20173,60023,14,2012
20174,60024,12,2012
20175,60025,8,2016
20176,60001,21,2012
20177,60002,15,2012
20178,60003,20,2014
20179,60004,18,2018
20180,60005,17,2021
20181,60006,20,2016
20182,60007,11,2020
20183,60008,17,2021
20184,60009,7,2018
20185,60010,6,2010
20186,60011,1,2010
20187,60012,17,2011
20188,60013,10,2013
20189,60014,15,2011
20190,60015,16,2010
20191,60016,1,2019
20192,60017,3,2010
20193,60018,8,2014
20194,60019,21,2016
20195,60020,19,2019
20196,60021,20,2020
20197,60022,16,2012
20198,60023,9,2011
20199,60024,13,2019
20200,60025,12,2020
20201,60001,16,2020
20202,60002,1,2019
20203,60003,18,2016
20204,60004,21,2013
20205,60005,13,2014
20206,60006,5,2020
20207,60007,16,2021
20208,60008,12,2018
20209,60009,1,2018
20210,60010,18,2017
20211,60011,12,2017
20212,60012,17,2012
20213,60013,18,2011
20214,60014,8,2014
20215,60015,13,2012
20216,60016,6,2015
20217,60017,19,2010
20218,60018,20,2014
20219,60019,10,2019
20220,60020,7,2014
20221,60021,11,2013
20222,60022,17,2016
20223,60023,17,2011
20224,60024,16,2015
20225,60025,11,2012
20226,60001,2,2021
20227,60002,12,2018
20228,60003,17,2018
20229,60004,17,2014
20230,60005,7,2015
20231,60006,7,2012
20232,60007,19,2017
20233,60008,4,2018
20234,60009,8,2017
20235,60010,2,2015
20236,60011,17,2010
20237,60012,9,2020
20238,60013,7,2011
20239,60014,21,2019
20240,60015,15,2016
20241,60016,13,2012
20242,60017,1,2018
20243,60018,10,2012
20244,60019,15,2021
20245,60020,16,2015
20246,60021,21,2011
20247,60022,5,2011
20248,60023,10,2014
20249,60024,15,2021
20250,60025,2,2014
20251,60001,3,2013
20252,60002,1,2010
20253,60003,7,2018
20254,60004,3,2017
20255,60005,6,2017
20256,60006,19,2021
20257,60007,6,2019
20258,60008,14,2018
20259,60009,1,2017
