paperID,authorID,review,decision
20001,10132,Bad bad...,Denied
20002,10132,Bad bad...,Denied
20003,10087,Nice Nice...,Approved
20004,10136,Nice Nice...,Approved
20005,10063,Bad bad...,Denied
20006,10071,Nice Nice...,Approved
20007,10103,Nice Nice...,Approved
20008,10034,Bad bad...,Denied
20009,10057,Nice Nice...,Approved
20010,10122,Nice Nice...,Approved
20011,10010,Bad bad...,Denied
20012,10069,Bad bad...,Denied
20013,10089,Bad bad...,Denied
20014,10097,Bad bad...,Denied
20015,10051,Bad bad...,Denied
20016,10130,Bad bad...,Denied
20017,10144,Nice Nice...,Approved
20018,10005,Nice Nice...,Approved
20019,10086,Bad bad...,Denied
20020,10111,Nice Nice...,Approved
20021,10140,Nice Nice...,Approved
20022,10009,Nice Nice...,Approved
20023,10013,Nice Nice...,Approved
20024,10015,Nice Nice...,Approved
20025,10127,Bad bad...,Denied
20026,10117,Nice Nice...,Approved
20027,10120,Nice Nice...,Approved
20028,10042,Nice Nice...,Approved
20029,10027,Bad bad...,Denied
20030,10064,Nice Nice...,Approved
20031,10047,Nice Nice...,Approved
20032,10027,Bad bad...,Denied
20033,10010,Nice Nice...,Approved
20034,10050,Nice Nice...,Approved
20035,10004,Bad bad...,Denied
20036,10118,Nice Nice...,Approved
20037,10083,Bad bad...,Denied
20038,10034,Bad bad...,Denied
20039,10069,Bad bad...,Denied
20040,10026,Nice Nice...,Approved
20041,10006,Bad bad...,Denied
20042,10101,Nice Nice...,Approved
20043,10036,Bad bad...,Denied
20044,10114,Bad bad...,Denied
20045,10085,Nice Nice...,Approved
20046,10055,Bad bad...,Denied
20047,10138,Bad bad...,Denied
20048,10078,Bad bad...,Denied
20049,10115,Bad bad...,Denied
20050,10013,Nice Nice...,Approved
20051,10105,Nice Nice...,Approved
20052,10063,Nice Nice...,Approved
20053,10072,Bad bad...,Denied
20054,10044,Nice Nice...,Approved
20055,10120,Nice Nice...,Approved
20056,10116,Bad bad...,Denied
20057,10066,Nice Nice...,Approved
20058,10079,Bad bad...,Denied
20059,10038,Bad bad...,Denied
20060,10046,Nice Nice...,Approved
20061,10039,Bad bad...,Denied
20062,10102,Nice Nice...,Approved
20063,10070,Bad bad...,Denied
20064,10149,Nice Nice...,Approved
20065,10032,Nice Nice...,Approved
20066,10133,Bad bad...,Denied
20067,10127,Nice Nice...,Approved
20068,10022,Nice Nice...,Approved
20069,10044,Bad bad...,Denied
20070,10020,Nice Nice...,Approved
20071,10132,Nice Nice...,Approved
20072,10137,Bad bad...,Denied
20073,10052,Nice Nice...,Approved
20074,10057,Bad bad...,Denied
20075,10137,Bad bad...,Denied
20076,10035,Nice Nice...,Approved
20077,10112,Bad bad...,Denied
20078,10024,Bad bad...,Denied
20079,10046,Bad bad...,Denied
20080,10014,Bad bad...,Denied
20081,10114,Bad bad...,Denied
20082,10050,Nice Nice...,Approved
20083,10096,Bad bad...,Denied
20084,10012,Bad bad...,Denied
20085,10020,Bad bad...,Denied
20086,10078,Nice Nice...,Approved
20087,10038,Bad bad...,Denied
20088,10099,Nice Nice...,Approved
20089,10012,Nice Nice...,Approved
20090,10144,Nice Nice...,Approved
20091,10112,Bad bad...,Denied
20092,10130,Nice Nice...,Approved
20093,10129,Nice Nice...,Approved
20094,10014,Nice Nice...,Approved
20095,10120,Nice Nice...,Approved
20096,10099,Nice Nice...,Approved
20097,10121,Nice Nice...,Approved
20098,10047,Nice Nice...,Approved
20099,10139,Bad bad...,Denied
20100,10145,Bad bad...,Denied
20101,10029,Nice Nice...,Approved
20102,10104,Nice Nice...,Approved
20103,10109,Nice Nice...,Approved
20104,10105,Nice Nice...,Approved
20105,10106,Nice Nice...,Approved
20106,10090,Bad bad...,Denied
20107,10103,Nice Nice...,Approved
20108,10097,Bad bad...,Denied
20109,10117,Bad bad...,Denied
20110,10022,Bad bad...,Denied
20111,10069,Bad bad...,Denied
20112,10023,Nice Nice...,Approved
20113,10116,Bad bad...,Denied
20114,10097,Nice Nice...,Approved
20115,10011,Nice Nice...,Approved
20116,10149,Nice Nice...,Approved
20117,10071,Nice Nice...,Approved
20118,10107,Nice Nice...,Approved
20119,10041,Nice Nice...,Approved
20120,10088,Nice Nice...,Approved
20121,10001,Nice Nice...,Approved
20122,10110,Nice Nice...,Approved
20123,10050,Nice Nice...,Approved
20124,10133,Bad bad...,Denied
20125,10128,Bad bad...,Denied
20126,10141,Bad bad...,Denied
20127,10051,Nice Nice...,Approved
20128,10028,Bad bad...,Denied
20129,10087,Nice Nice...,Approved
20130,10070,Nice Nice...,Approved
20131,10128,Nice Nice...,Approved
20132,10116,Nice Nice...,Approved
20133,10077,Bad bad...,Denied
20134,10088,Nice Nice...,Approved
20135,10003,Bad bad...,Denied
20136,10086,Bad bad...,Denied
20137,10054,Nice Nice...,Approved
20138,10005,Nice Nice...,Approved
20139,10044,Bad bad...,Denied
20140,10005,Bad bad...,Denied
20141,10013,Bad bad...,Denied
20142,10116,Bad bad...,Denied
20143,10040,Bad bad...,Denied
20144,10045,Bad bad...,Denied
20145,10037,Bad bad...,Denied
20146,10103,Bad bad...,Denied
20147,10148,Bad bad...,Denied
20148,10014,Bad bad...,Denied
20149,10145,Nice Nice...,Approved
20150,10019,Nice Nice...,Approved
20151,10088,Bad bad...,Denied
20152,10126,Bad bad...,Denied
20153,10022,Nice Nice...,Approved
20154,10107,Nice Nice...,Approved
20155,10085,Nice Nice...,Approved
20156,10134,Bad bad...,Denied
20157,10037,Nice Nice...,Approved
20158,10120,Bad bad...,Denied
20159,10073,Bad bad...,Denied
20160,10100,Nice Nice...,Approved
20161,10094,Bad bad...,Denied
20162,10105,Bad bad...,Denied
20163,10024,Nice Nice...,Approved
20164,10032,Nice Nice...,Approved
20165,10017,Nice Nice...,Approved
20166,10148,Nice Nice...,Approved
20167,10079,Bad bad...,Denied
20168,10060,Bad bad...,Denied
20169,10118,Bad bad...,Denied
20170,10013,Bad bad...,Denied
20171,10006,Bad bad...,Denied
20172,10099,Bad bad...,Denied
20173,10030,Nice Nice...,Approved
20174,10110,Nice Nice...,Approved
20175,10140,Nice Nice...,Approved
20176,10006,Bad bad...,Denied
20177,10081,Bad bad...,Denied
20178,10041,Bad bad...,Denied
20179,10120,Bad bad...,Denied
20180,10101,Nice Nice...,Approved
20181,10019,Nice Nice...,Approved
20182,10076,Nice Nice...,Approved
20183,10094,Bad bad...,Denied
20184,10070,Nice Nice...,Approved
20185,10053,Bad bad...,Denied
20186,10023,Nice Nice...,Approved
20187,10148,Bad bad...,Denied
20188,10003,Nice Nice...,Approved
20189,10119,Nice Nice...,Approved
20190,10127,Nice Nice...,Approved
20191,10096,Bad bad...,Denied
20192,10072,Nice Nice...,Approved
20193,10076,Nice Nice...,Approved
20194,10090,Bad bad...,Denied
20195,10014,Bad bad...,Denied
20196,10063,Nice Nice...,Approved
20197,10134,Bad bad...,Denied
20198,10057,Bad bad...,Denied
20199,10116,Nice Nice...,Approved
20200,10102,Bad bad...,Denied
20201,10114,Bad bad...,Denied
20202,10002,Bad bad...,Denied
20203,10085,Nice Nice...,Approved
20204,10050,Nice Nice...,Approved
20205,10057,Bad bad...,Denied
20206,10026,Nice Nice...,Approved
20207,10121,Nice Nice...,Approved
20208,10102,Bad bad...,Denied
20209,10057,Nice Nice...,Approved
20210,10075,Nice Nice...,Approved
20211,10110,Bad bad...,Denied
20212,10032,Bad bad...,Denied
20213,10021,Bad bad...,Denied
20214,10047,Bad bad...,Denied
20215,10124,Bad bad...,Denied
20216,10073,Nice Nice...,Approved
20217,10103,Nice Nice...,Approved
20218,10063,Bad bad...,Denied
20219,10102,Bad bad...,Denied
20220,10145,Bad bad...,Denied
20221,10118,Bad bad...,Denied
20222,10118,Bad bad...,Denied
20223,10035,Nice Nice...,Approved
20224,10074,Nice Nice...,Approved
20225,10083,Bad bad...,Denied
20226,10124,Nice Nice...,Approved
20227,10041,Nice Nice...,Approved
20228,10112,Bad bad...,Denied
20229,10086,Nice Nice...,Approved
20230,10143,Bad bad...,Denied
20231,10014,Bad bad...,Denied
20232,10053,Bad bad...,Denied
20233,10102,Nice Nice...,Approved
20234,10006,Bad bad...,Denied
20235,10126,Bad bad...,Denied
20236,10073,Nice Nice...,Approved
