paperID	authorID	main
20001	10138	Yes
20002	10061	Yes
20003	10113	Yes
20004	10043	Yes
20005	10104	Yes
20006	10086	Yes
20007	10105	Yes
20008	10126	Yes
20009	10062	Yes
20010	10106	Yes
20011	10121	Yes
20012	10134	Yes
20013	10065	Yes
20014	10048	Yes
20015	10149	Yes
20016	10091	Yes
20017	10148	Yes
20018	10036	Yes
20019	10037	Yes
20020	10092	Yes
20021	10075	Yes
20022	10136	Yes
20023	10020	Yes
20024	10088	Yes
20025	10064	Yes
20026	10002	Yes
20027	10026	Yes
20028	10014	Yes
20029	10014	Yes
20030	10083	Yes
20031	10105	Yes
20032	10011	Yes
20033	10046	Yes
20034	10094	Yes
20035	10104	Yes
20036	10005	Yes
20037	10134	Yes
20038	10123	Yes
20039	10141	Yes
20040	10033	Yes
20041	10147	Yes
20042	10079	Yes
20043	10074	Yes
20044	10035	Yes
20045	10013	Yes
20046	10001	Yes
20047	10107	Yes
20048	10147	Yes
20049	10018	Yes
20050	10066	Yes
20051	10043	Yes
20052	10020	Yes
20053	10026	Yes
20054	10054	Yes
20055	10033	Yes
20056	10027	Yes
20057	10118	Yes
20058	10082	Yes
20059	10047	Yes
20060	10048	Yes
20061	10092	Yes
20062	10024	Yes
20063	10059	Yes
20064	10090	Yes
20065	10061	Yes
20066	10123	Yes
20067	10126	Yes
20068	10097	Yes
20069	10057	Yes
20070	10008	Yes
20071	10061	Yes
20072	10121	Yes
20073	10077	Yes
20074	10112	Yes
20075	10009	Yes
20076	10109	Yes
20077	10119	Yes
20078	10106	Yes
20079	10067	Yes
20080	10087	Yes
20081	10069	Yes
20082	10012	Yes
20083	10102	Yes
20084	10034	Yes
20085	10102	Yes
20086	10149	Yes
20087	10052	Yes
20088	10030	Yes
20089	10100	Yes
20090	10150	Yes
20091	10054	Yes
20092	10092	Yes
20093	10042	Yes
20094	10077	Yes
20095	10087	Yes
20096	10049	Yes
20097	10001	Yes
20098	10098	Yes
20099	10080	Yes
20100	10095	Yes
20101	10023	Yes
20102	10020	Yes
20103	10050	Yes
20104	10052	Yes
20105	10036	Yes
20106	10117	Yes
20107	10122	Yes
20108	10103	Yes
20109	10053	Yes
20110	10012	Yes
20111	10050	Yes
20112	10092	Yes
20113	10050	Yes
20114	10040	Yes
20115	10064	Yes
20116	10122	Yes
20117	10063	Yes
20118	10083	Yes
20119	10087	Yes
20120	10068	Yes
20121	10059	Yes
20122	10087	Yes
20123	10139	Yes
20124	10134	Yes
20125	10041	Yes
20126	10132	Yes
20127	10143	Yes
20128	10039	Yes
20129	10032	Yes
20130	10106	Yes
20131	10092	Yes
20132	10114	Yes
20133	10098	Yes
20134	10121	Yes
20135	10075	Yes
20136	10025	Yes
20137	10088	Yes
20138	10012	Yes
20139	10075	Yes
20140	10004	Yes
20141	10044	Yes
20142	10079	Yes
20143	10086	Yes
20144	10032	Yes
20145	10041	Yes
20146	10102	Yes
20147	10113	Yes
20148	10028	Yes
20149	10061	Yes
20150	10022	Yes
20151	10037	Yes
20152	10081	Yes
20153	10049	Yes
20154	10118	Yes
20155	10078	Yes
20156	10033	Yes
20157	10039	Yes
20158	10134	Yes
20159	10033	Yes
20160	10029	Yes
20161	10064	Yes
20162	10095	Yes
20163	10070	Yes
20164	10042	Yes
20165	10063	Yes
20166	10065	Yes
20167	10101	Yes
20168	10100	Yes
20169	10068	Yes
20170	10094	Yes
20171	10010	Yes
20172	10087	Yes
20173	10112	Yes
20174	10040	Yes
20175	10004	Yes
20176	10036	Yes
20177	10040	Yes
20178	10037	Yes
20179	10062	Yes
20180	10105	Yes
20181	10051	Yes
20182	10065	Yes
20183	10028	Yes
20184	10143	Yes
20185	10146	Yes
20186	10037	Yes
20187	10052	Yes
20188	10145	Yes
20189	10135	Yes
20190	10021	Yes
20191	10134	Yes
20192	10122	Yes
20193	10072	Yes
20194	10144	Yes
20195	10019	Yes
20196	10032	Yes
20197	10125	Yes
20198	10022	Yes
20199	10019	Yes
20200	10028	Yes
20201	10139	Yes
20202	10075	Yes
20203	10028	Yes
20204	10032	Yes
20205	10035	Yes
20206	10064	Yes
20207	10088	Yes
20208	10143	Yes
20209	10123	Yes
20210	10054	Yes
20211	10025	Yes
20212	10141	Yes
20213	10074	Yes
20214	10128	Yes
20215	10082	Yes
20216	10001	Yes
20217	10117	Yes
20218	10108	Yes
20219	10142	Yes
20220	10005	Yes
20221	10039	Yes
20222	10067	Yes
20223	10025	Yes
20224	10003	Yes
20225	10042	Yes
20226	10016	Yes
20227	10039	Yes
20228	10113	Yes
20229	10149	Yes
20230	10138	Yes
20231	10148	Yes
20232	10058	Yes
20233	10052	Yes
20234	10016	Yes
20235	10104	Yes
20236	10128	Yes
20237	10055	Yes
20238	10099	Yes
20239	10027	Yes
20240	10086	Yes
20241	10135	Yes
20242	10025	Yes
20243	10051	Yes
20244	10061	Yes
20245	10135	Yes
20246	10150	Yes
20247	10034	Yes
20248	10029	Yes
20249	10036	Yes
20250	10020	Yes
20251	10146	Yes
20252	10031	Yes
20253	10110	Yes
20254	10067	Yes
20255	10114	Yes
20256	10010	Yes
20257	10136	Yes
20258	10034	Yes
20259	10093	Yes
20260	10062	Yes
20261	10058	Yes
20262	10057	Yes
20263	10053	Yes
20264	10020	Yes
20265	10068	Yes
20266	10042	Yes
20267	10035	Yes
20268	10002	Yes
20269	10091	Yes
20270	10087	Yes
20271	10122	Yes
20272	10065	Yes
20273	10052	Yes
20274	10102	Yes
20275	10043	Yes
20276	10041	Yes
20277	10145	Yes
20278	10141	Yes
20279	10103	Yes
20280	10007	Yes
20281	10147	Yes
20282	10063	Yes
20283	10074	Yes
20284	10051	Yes
20285	10093	Yes
20286	10099	Yes
20287	10052	Yes
20288	10005	Yes
20289	10143	Yes
20290	10002	Yes
20291	10019	Yes
20292	10011	Yes
20293	10027	Yes
20294	10111	Yes
20295	10023	Yes
20296	10113	Yes
20297	10146	Yes
20298	10079	Yes
20299	10128	Yes
20300	10027	Yes
20301	10003	Yes
20302	10132	Yes
20303	10027	Yes
20304	10001	Yes
20305	10150	Yes
20306	10093	Yes
20307	10020	Yes
20308	10110	Yes
20309	10146	Yes
20310	10091	Yes
20311	10048	Yes
20312	10081	Yes
20313	10016	Yes
20314	10031	Yes
20315	10015	Yes
20316	10035	Yes
20317	10065	Yes
20318	10041	Yes
20319	10037	Yes
20320	10130	Yes
20321	10130	Yes
20322	10112	Yes
20323	10129	Yes
20324	10061	Yes
20325	10100	Yes
20326	10105	Yes
20327	10083	Yes
20328	10032	Yes
20329	10118	Yes
20330	10089	Yes
20331	10148	Yes
20332	10012	Yes
20333	10121	Yes
20334	10067	Yes
20335	10150	Yes
20336	10043	Yes
20337	10100	Yes
20338	10018	Yes
20339	10049	Yes
20340	10140	Yes
20341	10033	Yes
20342	10045	Yes
20343	10113	Yes
20344	10078	Yes
20345	10035	Yes
20346	10052	Yes
20347	10065	Yes
20348	10125	Yes
20349	10010	Yes
20350	10137	Yes
20351	10027	Yes
20352	10134	Yes
20353	10117	Yes
20354	10037	Yes
20355	10146	Yes
20356	10124	Yes
20357	10139	Yes
20358	10039	Yes
20359	10114	Yes
20360	10124	Yes
20361	10137	Yes
20362	10145	Yes
20363	10014	Yes
20364	10130	Yes
20365	10098	Yes
20366	10002	Yes
20367	10057	Yes
20368	10148	Yes
20369	10131	Yes
20370	10083	Yes
20371	10008	Yes
20372	10072	Yes
20373	10142	Yes
20374	10062	Yes
20375	10004	Yes
20376	10139	Yes
